sms,opening,lastmodified,image3,postal,latitude,image6,name,whatsapp,street,cuisine,image4,image5,inperson,menuitem,pickup_option,website,delivery_detail,unit,call,longitude,image2,description,claps,condition,delivery,url,region,description_detail,menuprice,promo,menu,delivery_option,contact,price
false,9AM - 10PM,,,730019,1.4432820430000002,,Hong Ji Claypot Herbal ,true,19 MARSILING LANE SINGAPORE 730019,,,,true,,true,,"Within 10km radius, Min. order $20. ",#01-329,false,103.7772942,,"
Chinese",0,,,https://thesmartlocal.com/wp-content/uploads/directory/35-Hong-Ji-Claypot-Herbal.png,,Recommended: Hong Ji Claypot Herbal Bak Kut Teh,,,true,true,97992614,$3-$8
false,"5.30pm to 11.30pm Daily, Closed on Mondays",,,557269,1.364223804,,Ayman Alam Desserts,true,20 KENSINGTON PARK ROAD CHOMP CHOMP FOOD CENTRE SINGAPORE 557269,,,,true,,true,https://www.facebook.com/AAChengTng/,,Stall 13,false,103.8665695,,Uniquely Singaporean Desserts,0,,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587364777668_IMG_20191207_144812_961%20-%20Aisyah%20Fong.jpg?alt=media&token=e07f6f0c-eae0-4e36-a4a8-e499bd34a0dc,,Hot and Cold Traditional Cheng Tng Small take-away: $3 Large take-away: $5Payment: PayNow or Cash upon pick up at store if not via Food Delivery Service (Deliveroo or WhyQ),,,false,true,97865544,0
false,12PM - 10.30PM,,,570506,1.3491719880000002,,Denzy Gelato ,false,506 BISHAN STREET 11 HDB-BISHAN SINGAPORE 570506,,,,true,,true,https://www.facebook.com/denzygelato/,$8 islandwide delivery. Free delivery for orders $50 and up. 20% off 2 pints or more. ,,false,103.8491655,,"
Desserts",5,2 pints or more,,https://thesmartlocal.com/wp-content/uploads/directory/260-Denzy-Gelato.png,,Recommended: Dark Chocolate and Roasted Pistachio Gelato,,20% off,false,true,,$0
false,11AM - 9PM,,,018982,1.279124938,,OLA Cocina del Mar,true,12 MARINA BOULEVARD MARINA BAY FINANCIAL CENTRE (TOWER 3) SINGAPORE 018982,,,,true,,true,,Free delivery for orders $100 and up. ,#01-05/06,false,103.85445759999999,,"
Western, Mediterranean",0,,,https://thesmartlocal.com/wp-content/uploads/directory/196-OLA-Cocina-del-Mar.png,,"Paella, omelettes",,,false,true,91383045,$20
false,12PM - 10PM,,,198771,1.304166735,,DOHKIE - The Edible Cookie Dough Shop,false,803 NORTH BRIDGE ROAD SINGAPORE 198771,,,,true,,true,https://www.dohkie.com.sg/shop,"$15 islandwide delivery, no Min. order.
Free delivery for orders $150 and up. ",,false,103.86033979999999,,"
Desserts",1,,,https://thesmartlocal.com/wp-content/uploads/directory/53-DOHKIE-The-Edible-Cookie-Dough-Shop.png,,Recommended: Original Chocolate Chip,,,false,true,,$0
false,9AM-9PM,,,259760,1.322573169,,Relish by Wildrocket,false,501 BUKIT TIMAH ROAD CLUNY COURT SINGAPORE 259760,,,,true,,true,,"$10 delivery within 5KM of Cluny Court.
$15 delivery within from 5-10KM radius of Cluny Court.
$20 delivery outside 10KM of Cluny Court.
Min. order $50.  ",#02-01,true,103.8142455,,"
Western, Fusion",0,,,https://thesmartlocal.com/wp-content/uploads/directory/142-Relish-by-Wildrocket.png,,"Wildrocket Beef Burger, BBQ Char Siew Pork Burger, Curry Chicken Shepard's Pie, Bee Hiam Spaghettinni, Oyster Omelette Spaghettinni",,,false,true,67631547,$10+
false,12PM - 1.15AM,,,238843,1.301514467,,49 Seats,true,176 ORCHARD ROAD DBS CENTERPOINT SINGAPORE 238843,,,,true,,true,"https://www.google.com/maps/place/49+Seats/@1.3020387,103.8400607,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1996c7f3344d:0xe525cb715e06baa0!8m2!3d1.3020387!4d103.8400607",min. order $49,,false,103.84005440000001,,Pastas,0,,,https://thesmartlocal.com/wp-content/uploads/directory/14-49-Seats.png,,Recommended: Tom Yum Seafood Pasta,,,false,true,83384949,0
false,12PM-10PM,,,099892,1.24403092,,Panamericana,true,27 BUKIT MANIS ROAD SENTOSA GOLF CLUB SINGAPORE 099892,,,,true,,true,https://www.panamericana.sg/,"$10 delivery fee for orders within Sentosa. Free delivery within Sentosa for orders $40 and up. Free delivery for mainland with min. order $60 (for Districts 1-4, 6, 7, 9 only) ",,false,103.8294392,,"
Pan American",0,,,https://thesmartlocal.com/wp-content/uploads/directory/161-Panamericana.png,,"Empanadas, Colombian Chicken, California Salad, Argentinian Lamb, Patatas Bragas, Alcohol",,,false,true,88170961,$0+
false,10AM - 8.30PM,,,179097,1.2911462759999999,,Fireless Kitchen,true,109 NORTH BRIDGE ROAD FUNAN O2 SINGAPORE 179097,,,,true,,true,,no min. order.,#02-04,false,103.8498342,,"
Western",0,takeaway,,https://thesmartlocal.com/wp-content/uploads/directory/255-Fireless-Kitchen.png,,"[Build Your Bowl] 12-Hours Sous Vide BBQ Pork Belly bowl, Sous Vide Ginger Soy Chicken bowl, Sous Vide Herb Butter Salmon bowl",,10% off,false,true,96614469,$8
false,11.30AM - 10.30PM,,,560409,1.362721747,,Xing Yun Seafood FishHead Steamboat,false,409 ANG MO KIO AVENUE 10 DBS ANG MO KIO AVENUE 10 SINGAPORE 560409,,,,true,,true,,,,false,103.8553507,,"
Chinese",0,,,https://thesmartlocal.com/wp-content/uploads/directory/16-Xing-Yun-Seafood-FishHead-Steamboat.png,,Fish Head Steamboat,,,false,true,91114305,
